Match ID,Home ID,Away ID,1,X,2
161,8,14,0.3637,0.2349,0.4014
162,7,13,0.8123,0.1307,0.057
163,19,10,0.1675,0.2721,0.5603
164,18,1,0.2053,0.2136,0.5812
165,17,4,0.4939,0.272,0.2341
166,20,3,0.2761,0.1972,0.5267
167,12,6,0.8087,0.1239,0.0674
168,15,11,0.4296,0.2047,0.3657
169,9,5,0.8829,0.0842,0.033
170,2,16,0.7463,0.1588,0.095
171,11,8,0.7234,0.1482,0.1284
172,13,9,0.0305,0.0904,0.879
173,3,2,0.5471,0.2272,0.2257
174,4,10,0.2549,0.2794,0.4657
175,5,18,0.295,0.2589,0.4462
176,7,15,0.5322,0.2176,0.2502
177,16,6,0.2597,0.2104,0.5299
178,14,19,0.5229,0.2364,0.2406
179,17,20,0.4441,0.2491,0.3068
180,1,12,0.2998,0.2596,0.4406
